run_id,timestamp_utc,raw,template,variables,parsed,var_count
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<MachineConstants>,<MachineConstants>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Header>,<Header>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ToolID>EQP_CHIPCONST_001</ToolID>,<ToolID><EQP_ID></ToolID>,"{""EQP_ID"": ""EQP_CHIPCONST_001""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Vendor>ChipConst Technologies</Vendor>,<Vendor>ChipConst Technologies</Vendor>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ProcessType>LPCVD</ProcessType>,<ProcessType>LPCVD</ProcessType>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<SoftwareVersion>VER_CVD_4.2.1</SoftwareVersion>,<SoftwareVersion><VERSION></SoftwareVersion>,"{""VERSION"": ""VER_CVD_4.2.1""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<NetworkAddress>NET_CC_001</NetworkAddress>,<NetworkAddress><NET_ID></NetworkAddress>,"{""NET_ID"": ""NET_CC_001""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ExpirationDate>2027-12-31</ExpirationDate>,<ExpirationDate><DATE></ExpirationDate>,"{""DATE"": ""2027-12-31""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<CreatedBy>CREATOR_CC_001</CreatedBy>,<CreatedBy><CREATOR_ID></CreatedBy>,"{""CREATOR_ID"": ""CREATOR_CC_001""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<CreateTime>2026-01-15T06:00:00+00:00</CreateTime>,<CreateTime><ISO_TS></CreateTime>,"{""ISO_TS"": ""2026-01-15T06:00:00+00:00""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<EquipmentConstants>,<EquipmentConstants>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Constant>,<Constant>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Name>NAME_0001</Name>,<Name><NAME_TOKEN></Name>,"{""NAME_TOKEN"": ""NAME_0001""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ConstantID>CC_EC_001</ConstantID>,<ConstantID><EC_ID></ConstantID>,"{""EC_ID"": ""CC_EC_001""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Units>Torr</Units>,<Units>Torr</Units>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<DataType>Float</DataType>,<DataType>Float</DataType>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Value>0.35</Value>,<Value><FLOAT></Value>,"{""FLOAT"": ""0.35""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Description>Process Pressure Setpoint</Description>,<Description>Process Pressure Setpoint</Description>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Name>NAME_0002</Name>,<Name><NAME_TOKEN></Name>,"{""NAME_TOKEN"": ""NAME_0002""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ConstantID>CC_EC_002</ConstantID>,<ConstantID><EC_ID></ConstantID>,"{""EC_ID"": ""CC_EC_002""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Units>°C</Units>,<Units>°C</Units>,{},0,0
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Value>750.0</Value>,<Value><FLOAT></Value>,"{""FLOAT"": ""750.0""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Description>Furnace Zone 1 Temperature</Description>,<Description>Furnace Zone <NUM> Temperature</Description>,"{""NUM"": ""1""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Name>NAME_0003</Name>,<Name><NAME_TOKEN></Name>,"{""NAME_TOKEN"": ""NAME_0003""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ConstantID>CC_EC_003</ConstantID>,<ConstantID><EC_ID></ConstantID>,"{""EC_ID"": ""CC_EC_003""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Value>755.0</Value>,<Value><FLOAT></Value>,"{""FLOAT"": ""755.0""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Description>Furnace Zone 2 Temperature</Description>,<Description>Furnace Zone <NUM> Temperature</Description>,"{""NUM"": ""2""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Name>NAME_0004</Name>,<Name><NAME_TOKEN></Name>,"{""NAME_TOKEN"": ""NAME_0004""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<ConstantID>CC_EC_004</ConstantID>,<ConstantID><EC_ID></ConstantID>,"{""EC_ID"": ""CC_EC_004""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Value>748.0</Value>,<Value><FLOAT></Value>,"{""FLOAT"": ""748.0""}",1,1
run_vendor3_chipconst_machine_constants_20260521T042135_42,2026-05-21T04:21:35.703891+00:00,<Description>Furnace Zone 3 Temperature</Description>,<Description>Furnace Zone <NUM> Temperature</Description>,"{""NUM"": ""3""}",1,1
