run_id,timestamp_utc,raw,template,variables,parsed,var_count
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.850392+00:00,<RecipeID>RCP_CC_001</RecipeID>,<RecipeID><RECIPE_ID></RecipeID>,"{""RECIPE_ID"": ""RCP_CC_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.850392+00:00,<RecipeName>Si3N4_LPCVD_75nm_v2</RecipeName>,<RecipeName>Si3N4_<FAB_TOKEN>nm_v2</RecipeName>,"{""FAB_TOKEN"": ""LPCVD_75""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.903010+00:00,<EquipmentID>EQP_CHIPCONST_001</EquipmentID>,<EquipmentID><EQP_ID></EquipmentID>,"{""EQP_ID"": ""EQP_CHIPCONST_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.903010+00:00,<FileType>Recipe</FileType>,<FileType>Recipe</FileType>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.965197+00:00,<FileGeneratorVersion>CVD_4.2.1</FileGeneratorVersion>,<FileGeneratorVersion>CVD_<FLOAT>.1</FileGeneratorVersion>,"{""FLOAT"": ""4.2""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:09.965197+00:00,<CreatedBy>CREATOR_CC_001</CreatedBy>,<CreatedBy><CREATOR_ID></CreatedBy>,"{""CREATOR_ID"": ""CREATOR_CC_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.028685+00:00,<ApprovedBy>CREATOR_CC_002</ApprovedBy>,<ApprovedBy><CREATOR_ID></ApprovedBy>,"{""CREATOR_ID"": ""CREATOR_CC_002""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.028685+00:00,<CreateTime>2026-01-15T06:00:00+00:00</CreateTime>,<CreateTime><ISO_TS></CreateTime>,"{""ISO_TS"": ""2026-01-15T06:00:00+00:00""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.090816+00:00,<ExpirationTime>2027-01-15T06:00:00+00:00</ExpirationTime>,<ExpirationTime><ISO_TS></ExpirationTime>,"{""ISO_TS"": ""2027-01-15T06:00:00+00:00""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.090816+00:00,<TargetFilmMaterial>Si3N4</TargetFilmMaterial>,<TargetFilmMaterial>Si3N4</TargetFilmMaterial>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.149485+00:00,<TargetThickness_nm>75</TargetThickness_nm>,<TargetThickness_nm>75</TargetThickness_nm>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.149485+00:00,<TargetMachineID>EQP_CHIPCONST_001</TargetMachineID>,<TargetMachineID><EQP_ID></TargetMachineID>,"{""EQP_ID"": ""EQP_CHIPCONST_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.214849+00:00,<CtrlJobID>CJOB_CC_001</CtrlJobID>,<CtrlJobID><CJOB_ID></CtrlJobID>,"{""CJOB_ID"": ""CJOB_CC_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.214849+00:00,<PRJobID>PRJOB_CC_001</PRJobID>,<PRJobID><PRJOB_ID></PRJobID>,"{""PRJOB_ID"": ""PRJOB_CC_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.471332+00:00,<LotID>LOT_CC_001</LotID>,<LotID><LOT_ID></LotID>,"{""LOT_ID"": ""LOT_CC_001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.471332+00:00,Step.id = PUMP_DOWN,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""Step.id = PUMP_DOWN""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.541522+00:00,<StepName>Pump Down</StepName>,<StepName>Pump Down</StepName>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.541522+00:00,<MaxTime_s>600</MaxTime_s>,<MaxTime_s>600</MaxTime_s>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.602420+00:00,<PressureTarget_Torr>0.001</PressureTarget_Torr>,<PressureTarget_Torr><FLOAT></PressureTarget_Torr>,"{""FLOAT"": ""0.001""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.602420+00:00,<RFPower_W>0</RFPower_W>,<RFPower_W>0</RFPower_W>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.663953+00:00,Step.id = RAMP_TEMP,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""Step.id = RAMP_TEMP""}",1,1
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.663953+00:00,<StepName>Temperature Ramp</StepName>,<StepName>Temperature Ramp</StepName>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.727617+00:00,<MaxTime_s>1800</MaxTime_s>,<MaxTime_s>1800</MaxTime_s>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.727617+00:00,<Zone1Temp_C>750</Zone1Temp_C>,<Zone1Temp_C>750</Zone1Temp_C>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.790185+00:00,<Zone2Temp_C>755</Zone2Temp_C>,<Zone2Temp_C>755</Zone2Temp_C>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.790185+00:00,<Zone3Temp_C>748</Zone3Temp_C>,<Zone3Temp_C>748</Zone3Temp_C>,{},0,0
run_vendor3_chipconst_recipe_details_20260521T055205_50,2026-05-21T05:52:10.851519+00:00,<RampRate_C_per_min>5.0</RampRate_C_per_min>,<RampRate_C_per_min><FLOAT></RampRate_C_per_min>,"{""FLOAT"": ""5.0""}",1,1
