run_id,timestamp_utc,raw,template,variables,parsed,var_count
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.320285+00:00,control_job.keys.ctrl_job_id: CJOB_SP_001,control_job.keys.ctrl_job_id: <CJOB_ID>,"{""CJOB_ID"": ""CJOB_SP_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.320285+00:00,control_job.keys.equipment_id: EQP_SP_001,control_job.keys.equipment_id: <EQP_ID>,"{""EQP_ID"": ""EQP_SP_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.320285+00:00,control_job.attributes.file_generator_version: VER_PVD_2.8.0,control_job.attributes.file_generator_version: <VERSION>,"{""VERSION"": ""VER_PVD_2.8.0""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.375679+00:00,control_job.attributes.file_type: Recipe,control_job.attributes.file_type: Recipe,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.375679+00:00,control_job.process_jobs[0].keys.pr_job_id: PRJOB_SP_001,control_job.process_jobs[0].keys.pr_job_id: <PRJOB_ID>,"{""PRJOB_ID"": ""PRJOB_SP_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.375679+00:00,control_job.process_jobs[0].keys.recipe_id: RCP_SP_001,control_job.process_jobs[0].keys.recipe_id: <RECIPE_ID>,"{""RECIPE_ID"": ""RCP_SP_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.437832+00:00,control_job.process_jobs[0].attributes.lot_id: LOT_SP_001,control_job.process_jobs[0].attributes.lot_id: <LOT_ID>,"{""LOT_ID"": ""LOT_SP_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.437832+00:00,control_job.process_jobs[0].attributes.wafer_size_mm: 300,control_job.process_jobs[0].attributes.wafer_size_mm: <NUM>,"{""NUM"": ""300""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.437832+00:00,control_job.process_jobs[0].attributes.layer_name: TiN_Barrier,control_job.process_jobs[0].attributes.layer_name: TiN_Barrier,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.499523+00:00,control_job.process_jobs[0].attributes.target_thickness_nm: 15,control_job.process_jobs[0].attributes.target_thickness_nm: <NUM>,"{""NUM"": ""15""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.499523+00:00,control_job.process_jobs[0].module_process_reports[0].keys.module_id: MOD_PVD_001,control_job.process_jobs[0].module_process_reports[0].keys.module_id: <MODULE_ID>,"{""MODULE_ID"": ""MOD_PVD_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.499523+00:00,control_job.process_jobs[0].module_process_reports[0].keys.recipe_step_id: PUMP,control_job.process_jobs[0].module_process_reports[0].keys.recipe_step_id: PUMP,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.563035+00:00,control_job.process_jobs[0].module_process_reports[0].keys.wafer_id:,control_job.process_jobs[0].module_process_reports[0].keys.wafer_id:,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.563035+00:00,control_job.process_jobs[0].module_process_reports[0].attributes.slot_id: None,control_job.process_jobs[0].module_process_reports[0].attributes.slot_id: <LOT_ID>one,"{""LOT_ID"": ""N""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.563035+00:00,control_job.process_jobs[0].module_process_reports[0].attributes.step_name: Pump Down,control_job.process_jobs[0].module_process_reports[0].attributes.step_name: Pump Down,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.624817+00:00,control_job.process_jobs[0].module_process_reports[0].attributes.max_time_s: 300,control_job.process_jobs[0].module_process_reports[0].attributes.max_time_s: <NUM>,"{""NUM"": ""300""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.624817+00:00,control_job.process_jobs[0].module_process_reports[0].attributes.target_pressure_torr: 5e-08,control_job.process_jobs[0].module_process_reports[0].attributes.target_pressure_torr: <NUM>,"{""NUM"": ""5e-08""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.624817+00:00,control_job.process_jobs[0].module_process_reports[0].attributes.heater_on: False,control_job.process_jobs[0].module_process_reports[0].attributes.heater_on: False,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.684829+00:00,control_job.process_jobs[0].module_process_reports[1].keys.module_id: MOD_PVD_001,control_job.process_jobs[0].module_process_reports[1].keys.module_id: <MODULE_ID>,"{""MODULE_ID"": ""MOD_PVD_001""}",1,1
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.684829+00:00,control_job.process_jobs[0].module_process_reports[1].keys.recipe_step_id: PREHEAT,control_job.process_jobs[0].module_process_reports[1].keys.recipe_step_id: PREHEAT,{},0,0
run_vendor6_sputterpro_recipe_details_20260521T055205_43,2026-05-21T05:52:06.684829+00:00,control_job.process_jobs[0].module_process_reports[1].keys.wafer_id: WFR_SP_001,control_job.process_jobs[0].module_process_reports[1].keys.wafer_id: <WAFER_ID>,"{""WAFER_ID"": ""WFR_SP_001""}",1,1
