run_id,timestamp_utc,raw,template,variables,parsed,var_count
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:06.834567+00:00,# RecipeID: RCP_PM_001: RecipeName: STI_CMP_OXIDE_300A,# RecipeID: <RECIPE_ID>: RecipeName: <FAB_TOKEN>,"{""RECIPE_ID"": ""RCP_PM_001"", ""FAB_TOKEN"": ""STI_CMP_OXIDE_300A""}",1,2
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:06.897583+00:00,# EquipmentID: EQP_PM_001: LotID: LOT_PM_001,# EquipmentID: <EQP_ID>: LotID: <LOT_ID>,"{""EQP_ID"": ""EQP_PM_001"", ""LOT_ID"": ""LOT_PM_001""}",1,2
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:06.961508+00:00,# LayerName: STI_Oxide: TargetRemoval_nm: 300,# LayerName: <FAB_TOKEN>xide: TargetRemoval_nm: <NUM>,"{""FAB_TOKEN"": ""STI_O"", ""NUM"": ""300""}",1,2
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.023279+00:00,StepID: StepName,StepID: StepName,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.084338+00:00,PRECONDITIONING: Pad Condition,PRECONDITIONING: Pad Condition,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.135924+00:00,LOAD: Wafer Load,LOAD: Wafer Load,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.198454+00:00,STEP1_BULK: Bulk Removal,STEP1_BULK: Bulk Removal,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.265460+00:00,STEP2_ENDPOINT: Endpoint Polish,STEP2_ENDPOINT: Endpoint Polish,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.337935+00:00,RINSE: Post-CMP Rinse,RINSE: Post-CMP Rinse,{},0,0
run_vendor7_polishmaster_recipe_details_20260521T055205_44,2026-05-21T05:52:07.398808+00:00,UNLOAD: Wafer Unload,UNLOAD: Wafer Unload,{},0,0
