run_id,timestamp_utc,raw,template,variables,parsed,var_count
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.296818+00:00,RECIPE_IDENTIFICATION.RecipeID = RCP_CT_001,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.RecipeID = RCP_CT_001""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.296818+00:00,RECIPE_IDENTIFICATION.RecipeName = POST_ETCH_CLEAN_STD_v4,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.RecipeName = POST_ETCH_CLEAN_STD_v4""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.296818+00:00,RECIPE_IDENTIFICATION.EquipmentID = EQP_CT_001,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.EquipmentID = EQP_CT_001""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.351975+00:00,RECIPE_IDENTIFICATION.FileType = Recipe,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.FileType = Recipe""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.351975+00:00,RECIPE_IDENTIFICATION.SoftwareVersion = VER_WC_6.1.3,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.SoftwareVersion = VER_WC_6.1.3""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.351975+00:00,RECIPE_IDENTIFICATION.TargetProcess = Post_Metal_Etch_Residue_Removal,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.TargetProcess = Post_Metal_Etch_Residue_Removal""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.405572+00:00,RECIPE_IDENTIFICATION.LotID = LOT_CT_001,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.LotID = LOT_CT_001""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.405572+00:00,RECIPE_IDENTIFICATION.LayerName = Metal_Clean_Post_Etch,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.LayerName = Metal_Clean_Post_Etch""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:07.405572+00:00,RECIPE_IDENTIFICATION.CreatedBy = CREATOR_CT_001,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.CreatedBy = CREATOR_CT_001""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:08.076364+00:00,RECIPE_IDENTIFICATION.ApprovedBy = CREATOR_CT_002,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.ApprovedBy = CREATOR_CT_002""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:08.076364+00:00,RECIPE_IDENTIFICATION.CreatedAt = 2026-01-25T07:00:00Z,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.CreatedAt = 2026-01-25T07:00:00Z""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:08.076364+00:00,RECIPE_IDENTIFICATION.ExpiresAt = 2027-01-25T07:00:00Z,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""RECIPE_IDENTIFICATION.ExpiresAt = 2027-01-25T07:00:00Z""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:08.148999+00:00,STEP_01_DIW_PREWET.StepID = DIW_PREWET,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""STEP_01_DIW_PREWET.StepID = DIW_PREWET""}",1,1
run_vendor8_cleantech_recipe_details_20260521T055205_45,2026-05-21T05:52:08.148999+00:00,STEP_01_DIW_PREWET.StepName = DIW Pre-Wet,<XML_ATTR_LINE>,"{""XML_ATTR_LINE"": ""STEP_01_DIW_PREWET.StepName = DIW Pre-Wet""}",1,1
